3	5
5	4
7	3
9	3
11	3
13	4
15	3
17	3
19	4
21	3
23	4
25	4
27	4
29	4
31	4
33	4
35	4
37	4
39	4
41	4
43	4
45	4
47	4
49	4
51	4
53	4
55	4
57	4
59	4
61	4
63	4
65	4
67	4
69	4
71	4
73	4
75	5
77	4
79	5
81	4
83	4
85	4
87	5
89	4
91	5
93	4
95	5
97	4
99	6
101	5
103	5
105	4
107	5
109	5
111	5
113	5
115	4
117	5
119	4
121	5
123	4
125	5
127	5
129	5
131	5
133	5
135	5
137	5
139	5
141	5
143	5
145	5
147	5
149	5
151	5
153	6
155	5
157	5
159	5
161	6
163	5
165	5
167	6
169	5
171	6
173	5
175	5
177	5
179	5
181	5
183	5
185	5
187	5
189	5
191	6
193	5
195	5
197	5
199	6
201	5
203	5
205	5
207	6
209	5
211	6
213	6
215	5
217	5
219	6
221	6
223	6
225	7
227	6
229	6
231	6
233	6
235	6
237	6
239	6
241	7
243	7
245	6
247	7
249	6
251	6
253	7
255	8
257	7
259	6
261	6
263	6
265	7
267	7
269	6
271	7
