3	19.252
5	19.6263
7	19.7571
9	22.1515
11	21.2863
13	20.2907
15	20.6236
17	20.2483
19	20.3862
21	19.8779
23	19.8713
25	19.8421
27	19.8973
29	20.2889
31	19.9688
33	20.3597
35	20.0756
37	20.2011
39	20.0523
41	20.3631
43	20.0711
45	20.0894
47	20.3152
49	20.2666
51	20.6341
53	20.1786
55	20.5226
57	20.132
59	20.4053
61	20.2899
63	20.2607
65	20.4382
67	20.5203
69	20.383
71	23.0206
73	20.504
75	21.2797
77	20.8387
79	20.6159
81	20.5307
83	20.6167
85	20.8469
87	20.5856
89	21.7833
91	20.7842
93	20.7147
95	21.0548
97	21.2511
99	20.8324
